 * Serving Flask app 'codigo_trator_novo'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
Erro ao processar dados: [Errno 11001] getaddrinfo failed
127.0.0.1 - - [24/Apr/2026 15:59:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:40] "GET /video_feed HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:40] "GET /static/logo_sonae.png HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:45] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:46] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:46] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:48] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:50] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:52] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:54] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:56] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 15:59:58] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:00] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:02] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:05] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:08] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:11] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:14] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:17] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:20] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:23] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:26] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:29] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:32] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:34] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:36] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:38] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:41] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:44] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:47] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:50] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:53] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:00:56] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:00] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:02] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:05] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:08] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:10] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:13] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:16] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:19] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:22] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:25] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:28] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:31] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:33] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:36] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:39] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:42] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:01:46] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:02:23] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
Trator detetado: 16:03:14
Imagem capturada.
127.0.0.1 - - [24/Apr/2026 16:03:24] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
Sem trator... a aguardar 30s.
127.0.0.1 - - [24/Apr/2026 16:03:35] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:37] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:39] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:41] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:44] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:47] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:50] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:53] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:03:56] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
Inserido na base de dados: 11.97s (Contador: 26)
Sessão guardada: 11.97s (Visto: 12.88s)
127.0.0.1 - - [24/Apr/2026 16:04:00] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:02] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:05] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:08] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:11] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:14] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:17] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:20] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:23] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:26] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:29] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:32] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:35] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:39] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:47] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:49] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:51] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:53] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:55] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:04:57] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:05:02] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
127.0.0.1 - - [24/Apr/2026 16:05:04] "GET /tabela_atualizada?data=2026-04-24 HTTP/1.1" 200 -
 * Serving Flask app 'codigo_trator_novo'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [29/Apr/2026 14:24:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:47] "GET /static/logo_sonae.png HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:49] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:51] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:53] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:55] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:58] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:24:59] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:01] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:03] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:05] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:07] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:09] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:11] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:13] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
 * Serving Flask app 'codigo_trator_camara'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
127.0.0.1 - - [29/Apr/2026 14:25:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:50] "GET /static/logo_sonae.png HTTP/1.1" 304 -
127.0.0.1 - - [29/Apr/2026 14:25:52] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:54] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:56] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:56] "GET /video_feed HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:25:56] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [29/Apr/2026 14:25:58] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:00] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:02] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:05] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:08] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:11] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:14] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:17] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:20] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:23] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:26] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:29] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:32] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:35] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:38] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:41] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:44] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:47] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:50] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:53] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:26:55] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:02] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:02] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:03] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:06] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:08] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:11] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:13] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:16] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:19] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:22] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:25] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
127.0.0.1 - - [29/Apr/2026 14:27:28] "GET /tabela_atualizada?data=2026-04-29 HTTP/1.1" 200 -
