epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6538,1.74535,5.45848,1.77101,0.00133,1,0.12437,0.04995,1.73621,6.17813,1.82211,0,0,0
2,30.9342,2.73689,5.65069,2.56737,0.00133,1,0.13267,0.06088,1.58113,5.79937,1.73297,1.9604e-05,1.9604e-05,1.9604e-05
3,46.6424,2.06509,4.42402,1.96915,0.00133,1,0.16583,0.08884,1.64804,6.04591,1.73213,3.8416e-05,3.8416e-05,3.8416e-05
4,62.7717,1.94543,4.71137,1.87364,0.00133,1,0.18091,0.08154,1.66205,5.37667,1.7018,5.6436e-05,5.6436e-05,5.6436e-05
5,78.5415,2.13762,4.25315,2.08712,0.00133,1,0.32442,0.12228,1.39397,4.62616,1.42467,7.3664e-05,7.3664e-05,7.3664e-05
6,92.6831,1.55687,3.98429,1.5997,0.00133,1,0.62,0.23995,1.32427,4.34295,1.31493,9.01e-05,9.01e-05,9.01e-05
7,108.13,1.61053,3.92106,1.58216,0.00133,1,0.62,0.25379,1.12544,4.39754,1.16655,0.000105744,0.000105744,0.000105744
8,122.786,1.77532,4.5715,1.7948,0.00133,1,0.66167,0.32157,1.03853,4.10553,1.07624,0.000120596,0.000120596,0.000120596
9,137.872,1.30442,3.08036,1.5005,0.00133,1,0.4975,0.30534,0.91383,3.73878,0.99664,0.000134656,0.000134656,0.000134656
10,151.831,1.51063,3.55152,1.42042,0.00133,1,0.398,0.20548,0.80718,3.87467,0.93109,0.000147924,0.000147924,0.000147924
11,173.183,1.15836,3.22917,1.26706,0.00133,1,0.398,0.31163,0.84319,3.75418,0.9245,0.0001604,0.0001604,0.0001604
12,188.712,1.19044,2.64397,1.46636,0.00133,1,0.66167,0.5622,0.72287,3.67559,0.86437,0.000172084,0.000172084,0.000172084
13,203.892,0.9918,2.25041,1.1584,0.00133,1,0.63786,0.60932,0.61536,3.64753,0.81522,0.000182976,0.000182976,0.000182976
14,222.662,1.04693,3.23724,1.15566,0.00133,1,0.695,0.60552,0.57475,3.73859,0.77303,0.000193076,0.000193076,0.000193076
15,236.926,0.94574,2.84083,1.16089,0.00133,1,0.82833,0.56272,0.82746,3.82901,0.82602,0.000202384,0.000202384,0.000202384
16,251.492,1.12994,2.26464,1.23766,0.00133,1,0.82833,0.49983,0.94243,4.01852,0.8543,0.0002109,0.0002109,0.0002109
17,264.159,0.86529,2.66275,1.06389,0.00133,1,0.745,0.3458,1.07947,4.11631,0.96069,0.000218624,0.000218624,0.000218624
18,277.865,0.93523,3.22692,1.23139,0.00133,1,0.745,0.3458,1.07947,4.11631,0.96069,0.000225556,0.000225556,0.000225556
19,293.372,0.89812,2.54854,1.11287,0.00133,1,0.82833,0.46413,1.19695,3.8397,1.03512,0.000231696,0.000231696,0.000231696
20,305.943,0.6158,1.80976,1.07955,0.00133,1,0.82833,0.46413,1.19695,3.8397,1.03512,0.000237044,0.000237044,0.000237044
